,bedrooms,sqft_lot,sqft_living,price,floors10,floors15,floors20,floors25,floors30,floors35,view00,view10,view20,view30,view40,grade3,grade4,grade5,grade6,grade7,grade8,grade9,grade10,grade11,grade12,grade13
33,1.0986122886681098,8.006367567650246,6.993932975223189,13.190022025878143,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
34,1.3862943611198906,8.803724602110622,7.630461261783627,12.683858415217964,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
35,1.0986122886681098,8.026170194946426,7.7406644019172415,13.453104939316557,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
36,1.3862943611198906,10.458751025732687,7.414572881350589,13.217673557208654,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
37,1.3862943611198906,8.699514748210191,7.7664168980196555,13.369223455335854,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
38,1.3862943611198906,8.996528148090857,7.106606137727303,12.388394202324129,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
39,1.3862943611198906,8.929700114313448,7.8709295967551425,13.312983737012978,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
40,1.3862943611198906,8.616133139271142,7.851661177889265,13.345506928718539,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
41,1.3862943611198906,10.09352923234522,8.347590407030058,13.560618308335483,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
43,1.0986122886681098,7.731930721948486,7.358830898342354,13.437174117244362,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
44,1.0986122886681098,9.175334762777368,7.154615356913663,12.641096555879882,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
45,1.0986122886681098,9.51804563563343,8.058327306580958,13.098070684835283,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
46,1.0986122886681098,9.051110146405625,6.897704943128636,12.257193425037888,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
47,1.3862943611198906,9.504203303503045,7.736307096548285,13.573438996764546,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
48,1.0986122886681098,8.693328989123106,7.1308988302963465,13.017002861746503,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
49,1.0986122886681098,11.08221946899627,7.920446505142607,14.115615150414612,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
50,1.0986122886681098,9.126850061477157,7.081708586105575,12.337100907936577,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
51,1.6094379124341003,9.119758993744945,8.055157731819678,12.751299696013497,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
52,1.0986122886681098,8.313852267398207,7.251344983372214,13.304684934198283,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
53,0.6931471805599453,9.053686561930807,7.590852123688581,13.279367126213993,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
54,1.6094379124341003,8.699514748210191,7.912056888179006,13.732128949025222,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
55,1.3862943611198906,8.517193191416238,7.948031990637284,13.693342923990066,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
56,1.3862943611198906,8.410720946905721,7.718685495198466,12.58621994565405,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
57,1.0986122886681098,8.465899897028686,7.791522819150732,12.614865543731012,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
58,1.6094379124341003,9.57094757444252,8.086410275323782,13.765269341527528,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
59,1.3862943611198906,9.207937487359873,7.52294091807237,12.971540487669746,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
60,1.0986122886681098,9.963406042747371,7.673223121121708,13.38472764187182,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
61,1.0986122886681098,9.035986984831405,7.138866999945524,12.57418196709457,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
62,1.0986122886681098,9.069928218259438,7.831617276352611,13.132313708257497,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
63,1.0986122886681098,6.950814768442584,7.3395376954076745,13.215853720491667,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
64,1.0986122886681098,8.699514748210191,7.414572881350589,12.959844447906553,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
65,1.0986122886681098,8.245121966478605,7.926602599181384,12.668626720622465,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
66,1.3862943611198906,9.310095205113175,7.908387159290043,13.790192749979985,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
67,1.3862943611198906,8.444192298531748,7.7142311448490855,12.567237494741757,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
68,1.0986122886681098,9.398478314091577,6.907755278982137,12.225875272826354,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
69,1.6094379124341003,9.911356510914823,8.070906088787819,14.100689500197937,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
70,1.6094379124341003,10.821656519422055,8.470101583882387,13.854731271117556,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
71,1.0986122886681098,8.632662441222351,7.138866999945524,12.691580461311874,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
72,1.3862943611198906,8.962776046120291,7.919356190660617,13.255144488638146,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
73,1.3862943611198906,8.517193191416238,7.77485576666552,12.793859310432293,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
74,1.0986122886681098,10.830302707866496,7.489970898834801,12.762827201184564,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
75,1.3862943611198906,10.466013387887635,8.140315540159985,13.632188500836737,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
76,1.3862943611198906,8.895629627136483,7.473069088032197,12.84792653170257,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
77,1.0986122886681098,8.52912176228151,6.946975992135418,13.081541382884074,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
78,1.0986122886681098,8.52912176228151,7.251344983372214,12.92391243868049,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
80,1.0986122886681098,8.536995818712418,7.762170607138205,12.873902018105829,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
81,1.3862943611198906,8.68084148294457,7.549609165154532,12.793859310432293,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
82,0.6931471805599453,8.812843433517195,7.61085279039525,12.779873068457553,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
83,1.0986122886681098,9.072456664612796,7.426549072397305,12.782686009834167,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
84,1.0986122886681098,8.799963219506997,6.866933284461882,12.66032791780777,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
85,1.0986122886681098,8.1886891244442,7.668561108015897,13.753635154246187,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
86,1.6094379124341003,9.035986984831405,7.886081401775745,12.628067055589549,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
87,1.0986122886681098,8.744806737401898,7.926602599181384,13.041153321978786,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
88,0.6931471805599453,7.620705086838262,7.383989457978509,12.2783933071098,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
89,0.6931471805599453,6.97166860472579,6.937314081223682,12.721885810807203,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
90,1.3862943611198906,8.909640602443098,7.590852123688581,12.402872221504781,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
91,1.6094379124341003,8.756682421266532,8.166216268592143,13.9108207377686,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
92,1.0986122886681098,9.259130536145614,7.090076835776092,11.938193200374572,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
93,1.0986122886681098,8.517193191416238,7.365180126021013,12.971540487669746,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
94,1.0986122886681098,8.517193191416238,7.365180126021013,13.458835614025542,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
95,1.3862943611198906,9.235032984566555,8.101677747454572,13.715690222682063,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
96,1.0986122886681098,9.660205067381032,7.580699752224563,12.419165860990882,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
97,1.3862943611198906,8.764053269347762,7.05617528410041,12.201060103706629,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
98,1.0986122886681098,10.640651618512848,7.501082124259871,12.65714826489039,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
99,1.0986122886681098,10.51452948317723,7.749322464660356,12.988831984779805,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
100,1.0986122886681098,9.491073355339758,7.635303886259415,13.653967622617456,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
101,1.0986122886681098,8.154212694914229,7.590852123688581,13.226723392728571,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
102,1.0986122886681098,11.586110868831522,7.691656822810547,13.458764182902971,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
103,1.0986122886681098,9.001222992395064,7.979338895262328,13.901688254205327,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
104,1.0986122886681098,10.431730608339187,7.098375638590786,12.577636201962656,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
105,1.0986122886681098,9.210840247017833,7.757906208351747,12.834681304952548,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
106,1.0986122886681098,8.29529885950246,7.4205789054108005,13.038981768465277,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
107,0.6931471805599453,7.821242083523558,7.122866658599083,12.146853285870202,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
108,1.3862943611198906,10.241280345410422,8.0519780789023,13.42984807715229,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
109,1.6094379124341003,9.420763358881013,7.615791072035833,13.060487973686241,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
110,1.3862943611198906,9.172015257654515,7.745002803515839,13.30092788532057,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
111,1.0986122886681098,8.1101268019411,7.138866999945524,13.253391639810733,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
113,1.0986122886681098,8.69433468816865,7.640123172695364,12.706696406811568,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
116,1.0986122886681098,7.004881989712859,7.371489295214277,13.158695306651719,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
117,0.6931471805599453,8.821732380934442,6.779921907472252,12.232836282799388,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
118,1.3862943611198906,9.169518377455928,7.358830898342354,12.054086288532291,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
119,1.3862943611198906,8.000349495324684,7.383989457978509,13.190022025878143,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
120,1.0986122886681098,8.775549434486189,7.783224016336037,13.399995114002609,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
121,1.0986122886681098,9.119540007649686,7.27931883541462,12.877740794412995,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
122,0.6931471805599453,8.699514748210191,6.646390514847729,12.886641043883259,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
123,1.3862943611198906,8.389359819906353,7.649692623711514,13.005829561148378,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
124,1.0986122886681098,9.230535079261703,7.975908360165538,13.554145793829866,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
125,1.3862943611198906,9.78633556772527,7.919356190660617,14.187074114396758,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
126,1.0986122886681098,9.012011377036412,7.649692623711514,13.005829561148378,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
127,1.3862943611198906,9.08375621986673,7.67786350067821,12.468436909997665,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
128,1.6094379124341003,8.509161019718974,7.749322464660356,13.620103761621664,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
130,1.0986122886681098,8.971448463693834,6.966024187106113,12.26434155365415,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
131,1.3862943611198906,9.169830828637973,7.605890001053122,13.400752402944518,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
132,1.0986122886681098,11.617987936217231,8.281470857895167,13.572164299332545,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
133,1.0986122886681098,7.734996194022781,7.605890001053122,13.024190303426474,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
134,1.3862943611198906,7.731053144007127,7.668561108015897,13.422467969854667,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
135,1.0986122886681098,9.763650607348328,7.1853870155804165,12.201060103706629,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
136,1.3862943611198906,8.966994113344454,7.61085279039525,12.301382825334498,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
137,1.3862943611198906,9.21054035197885,7.859413154693583,13.021437458814368,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
138,0.6931471805599453,8.39840965542627,7.081708586105575,12.854483932248728,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
139,1.0986122886681098,7.130098510125578,7.064759027791802,13.161487932088379,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
140,0.6931471805599453,8.070906088787819,7.01211529430638,13.407542319637992,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
141,1.6094379124341003,9.14580185083861,7.944492163932159,13.17628321939376,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
142,1.0986122886681098,9.057072635572965,7.383989457978509,12.230765258120545,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
143,1.0986122886681098,8.999248901686114,6.966024187106113,12.948009990259552,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
144,1.3862943611198906,9.04981944514108,7.615791072035833,13.122363377404328,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
145,1.3862943611198906,12.661514515109953,8.207946941048617,13.733758056092014,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
146,1.3862943611198906,8.294049640102028,7.843848638152472,13.698976741708323,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
147,0.6931471805599453,11.01836681366811,7.791522819150732,12.971540487669746,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
148,1.6094379124341003,9.433483923290392,7.723120092266331,12.460714863903755,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
149,1.0986122886681098,8.14757773620177,7.265429723253953,13.144124869185841,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
150,1.0986122886681098,8.035926369891792,7.215239978730097,13.184718266151094,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
151,1.0986122886681098,8.517193191416238,7.01211529430638,13.235692062711331,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
152,1.0986122886681098,9.011889433252344,7.1308988302963465,12.55302548257067,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
153,1.3862943611198906,9.895959286115337,8.55256033525353,14.626440774180603,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
154,0.0,8.536995818712418,6.551080335043404,12.765688433465597,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
155,1.0986122886681098,8.94494150776486,7.07326971745971,12.2783933071098,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
156,1.6094379124341003,10.136383395293016,8.283999304248526,13.38472764187182,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
157,1.3862943611198906,8.922658299524402,7.878534196140362,12.676076274775909,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
158,1.0986122886681098,8.881558488638976,7.146772179452637,12.417143615610113,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
159,1.3862943611198906,9.32188174670909,7.473069088032197,12.676076274775909,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
160,1.6094379124341003,9.06323150693797,7.630461261783627,12.449018824140563,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
161,1.0986122886681098,9.175748927206564,7.484368643286131,12.989974189358584,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
162,1.0986122886681098,9.717338680907787,8.131530710604252,13.710150042306449,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
163,1.0986122886681098,8.892886141190731,7.554858521040676,12.996800154428984,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
164,1.0986122886681098,10.554040335463652,7.61085279039525,12.948009990259552,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
165,1.0986122886681098,8.85366542803745,7.365180126021013,12.821258284620408,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
166,0.6931471805599453,8.88875674784872,7.200424892944957,12.505992035646432,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
167,1.3862943611198906,8.411610428841172,7.893572073504902,13.601202855312463,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
168,1.0986122886681098,9.185022563991893,7.893572073504902,13.389332408258568,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
169,1.0986122886681098,9.028338763993148,7.222566018822171,12.82530414313995,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
170,1.0986122886681098,9.95227771670556,7.352441100243583,12.556729517143344,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
171,1.0986122886681098,8.87346805533363,7.67786350067821,12.513557345278134,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
172,1.0986122886681098,8.976135873302548,7.200424892944957,12.65395846952229,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
173,1.3862943611198906,10.463189051084006,8.263590432617319,13.729407858910863,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
174,1.3862943611198906,9.010669176847115,7.859413154693583,13.419500608626866,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
175,1.0986122886681098,7.003065458786462,7.02108396428914,12.959844447906553,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
176,1.6094379124341003,8.594154232552366,7.585788821732034,12.899094818276968,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
177,1.0986122886681098,8.476371196895983,7.106606137727303,12.86099861326992,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
178,1.0986122886681098,8.930626469173578,7.575584651557793,12.505992035646432,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
179,0.6931471805599453,9.014325488050225,7.2078598714324755,12.706847933442663,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
180,1.0986122886681098,8.665095821339733,7.4205789054108005,12.468436909997665,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
181,1.3862943611198906,8.54188580400661,7.77485576666552,13.060487973686241,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
182,1.3862943611198906,9.169518377455928,7.799753318287247,13.286181462633724,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
